Station,Type,Name,County,State,Latitude,Longitude,Elevation,Supported By,First Ob,Most Recent Ob,Temp,Dew Point,Wet Bulb,SLP,Stn. Pres.,Vis,Wx Type,Obscur,Wind Spd,Wind Dir,Wind Gusts,RH,Precip,Snow,ET,Altimeter,Soil Temp,Soil Moist.,Soil Salinity,Solar Rad.,PAR,Cloud Cover,Fuel Temp,Fuel Moist.
NC-WK-175,CoCoRaHS,Apex 3.0 NNW,Wake County,NC,35.76411438,-78.87081909,433,,3/27/2014,10/8/2016,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
NC-WK-194,CoCoRaHS,Apex 3.0 W,Wake County,NC,35.729194,-78.898048,275,,7/23/2015,11/8/2019,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
NC-WK-211,CoCoRaHS,Apex 4.4 SSE,Wake County,NC,35.66726,-78.81521,368,,4/6/2016,4/25/2017,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
NC-WK-215,CoCoRaHS,Apex 2.0 WNW,Wake County,NC,35.73180008,-78.87898254,315,,6/13/2016,11/4/2020,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
NC-WK-217,CoCoRaHS,Apex 6.3 SE,Wake County,NC,35.661954,-78.765968,363,,7/31/2016,7/16/2017,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
NC-WK-225,CoCoRaHS,Apex 0.6 S,Wake County,NC,35.717431,-78.845949,460,,9/18/2016,4/26/2017,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
NC-WK-230,CoCoRaHS,Apex 6.6 SE,Wake County,NC,35.67132568,-78.74828339,371,,1/8/2017,8/4/2020,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
NC-WK-247,CoCoRaHS,Apex 1.8 E,Wake County,NC,35.729496,-78.813766,440,,4/6/2017,11/4/2020,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
NC-WK-281,CoCoRaHS,Apex 7.2 W,Wake County,NC,35.733089,-78.973309,279,,1/5/2019,8/8/2019,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
NC-WK-324,CoCoRaHS,Apex 6.5 SE,Wake County,NC,35.661613,-78.76127,381,,,,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
NC-WK-326,CoCoRaHS,Apex 2.9 NW,Wake County,NC,35.753501,-78.884365,361,,,,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
NC-WK-338,CoCoRaHS,Apex 5.8 NW,Wake County,NC,35.78056,-78.922337,334,,,,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
NC-WK-350,CoCoRaHS,Apex 3.6 W,Wake County,NC,35.733078,-78.907716,332,,,,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
NC-PM-19,CoCoRaHS,Arapahoe 2.2 WSW,Pamlico County,NC,35.00884049,-76.86348103,16,,3/5/2014,3/5/2014,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
