"id","month","year","pcp_in"
"USC00310212",9,"1999",20.81
"USC00310212",10,"1999",3.35
"USC00310212",11,"1999",2.02
"USC00310212",12,"1999",NA
"USC00310212",1,"2000",NA
"USC00310212",2,"2000",NA
"USC00310212",3,"2000",NA
"USC00310212",4,"2000",3.36
"USC00310212",5,"2000",0.7
"USC00310212",6,"2000",3.49
"USC00310212",7,"2000",7.89
"USC00310212",8,"2000",5.3
"USC00310212",9,"2000",5.41
"USC00310212",10,"2000",0.02
"USC00310212",11,"2000",2.85
"USC00310212",12,"2000",0.86
"USC00310212",1,"2001",1.39
"USC00310212",2,"2001",2.43
"USC00310212",3,"2001",6.3
"USC00310212",4,"2001",2.63
"USC00310212",5,"2001",2.14
"USC00310212",6,"2001",8.94
"USC00310212",7,"2001",10.42
"USC00310212",8,"2001",6.06
"USC00310212",9,"2001",1.39
"USC00310212",10,"2001",1.4
"USC00310212",11,"2001",0.62
"USC00310212",12,"2001",2.18
"USC00310212",1,"2002",6.44
"USC00310212",2,"2002",1.35
"USC00310212",3,"2002",3.03
"USC00310212",4,"2002",2.94
"USC00310212",5,"2002",1.32
"USC00310212",6,"2002",2.78
"USC00310212",7,"2002",3.45
"USC00310212",8,"2002",4.36
"USC00310212",9,"2002",3.68
"USC00310212",10,"2002",9.56
"USC00310212",11,"2002",3.85
"USC00310212",12,"2002",5.46
"USC00310212",1,"2003",2.1
"USC00310212",2,"2003",5.93
"USC00310212",3,"2003",6.21
"USC00310212",4,"2003",5.5
"USC00310212",5,"2003",4.08
"USC00310212",6,"2003",3.27
"USC00310212",7,"2003",4.94
"USC00310212",8,"2003",6.57
"USC00310212",9,"2003",7.27
"USC00310212",10,"2003",3.06
"USC00310212",11,"2003",2.03
"USC00310212",12,"2003",3.07
"USC00310212",1,"2004",1.65
"USC00310212",2,"2004",3.04
"USC00310212",3,"2004",2.56
"USC00310212",4,"2004",2.3
"USC00310212",5,"2004",3.43
"USC00310212",6,"2004",2.11
"USC00310212",7,"2004",4.46
"USC00310212",8,"2004",11.11
"USC00310212",9,"2004",5.47
"USC00310212",10,"2004",0.71
"USC00310212",11,"2004",3.48
"USC00310212",12,"2004",1.58
"USC00310212",1,"2005",2.56
"USC00310212",2,"2005",2.68
"USC00310212",3,"2005",4.03
"USC00310212",4,"2005",2.41
"USC00310212",5,"2005",3.26
"USC00310212",6,"2005",1.78
"USC00310212",7,"2005",6.71
"USC00310212",8,"2005",2.7
"USC00310212",9,"2005",1.77
"USC00310212",10,"2005",3.3
"USC00310212",11,"2005",4.51
"USC00310212",12,"2005",4.36
"USC00310212",1,"2006",2.17
"USC00310212",2,"2006",1.63
"USC00310212",3,"2006",1.3
"USC00310212",4,"2006",4.05
"USC00310212",5,"2006",4.13
"USC00310212",6,"2006",11.93
"USC00310212",7,"2006",2
"USC00310212",8,"2006",2.76
"USC00310212",9,"2006",4.33
"USC00310212",10,"2006",2.96
"USC00310212",11,"2006",9.03
"USC00310212",12,"2006",3.53
"USC00310212",1,"2007",2.96
"USC00310212",2,"2007",2.03
"USC00310212",3,"2007",3.36
"USC00310212",4,"2007",5.24
"USC00310212",5,"2007",0.49
"USC00310212",6,"2007",3.36
"USC00310212",7,"2007",2.96
"USC00310212",8,"2007",0
"USC00310212",9,"2007",2.11
"USC00310212",10,"2007",5.74
"USC00310212",11,"2007",0.78
"USC00310212",12,"2007",4.95
"USC00310212",1,"2008",1.04
"USC00310212",2,"2008",3.35
"USC00310212",3,"2008",4.25
"USC00310212",4,"2008",4.87
"USC00310212",5,"2008",3.69
"USC00310212",6,"2008",2.58
"USC00310212",7,"2008",5.13
"USC00310212",8,"2008",4.08
"USC00310212",9,"2008",8.52
"USC00310212",10,"2008",0.87
"USC00310212",11,"2008",3.2
"USC00310212",12,"2008",5.53
"USC00310212",1,"2009",2.9
"USC00310212",2,"2009",1.17
"USC00310212",3,"2009",5.22
"USC00310212",4,"2009",1.64
"USC00310212",5,"2009",3.94
"USC00310212",6,"2009",4.54
"USC00310212",7,"2009",3.18
"USC00310212",8,"2009",3.53
"USC00310212",9,"2009",3.59
"USC00310212",10,"2009",0.59
"USC00310212",11,"2009",6.35
"USC00310212",12,"2009",6.5
"USC00310212",1,"2010",4.17
"USC00310212",2,"2010",3.29
"USC00310212",3,"2010",3.5
"USC00310212",4,"2010",1.32
"USC00310212",5,"2010",4.97
"USC00310212",6,"2010",1.79
"USC00310212",7,"2010",5.72
"USC00310212",8,"2010",6.37
"USC00310212",9,"2010",5.81
"USC00310212",10,"2010",1.54
"USC00310212",11,"2010",1.43
"USC00310212",12,"2010",2.36
