"site","year","medianDepth","nobsv"
"Y34P3",2006,13.41,365
"Y34P3",2007,15.14,365
"Y34P3",2008,13.285,366
"Y34P3",2009,13.44,365
"Y34P3",2010,13.73,365
"Y34P3",2011,14.32,365
"Y34P3",2012,14.3725,366
"Y34P3",2013,13.724,365
"Y34P3",2014,13.303,365
"Y34P3",2015,13.059,261
"Y34P3",2016,12.782,365
"Y34P3",2017,13.5,365
"Y34P3",2018,12.909,346
"Y34P3",2019,12.883,365
"Y34P3",2020,12.1085,366
"Y34P3",2021,10.823,49
"Y34P4",2000,-2.87,1
"Y34P4",2001,-3.075,2
"Y34P4",2002,-2.54,3
"Y34P4",2003,-2.75,3
"Y34P4",2004,-2.85,6
"Y34P4",2005,-2.91,4
"Y34P4",2006,-3.235,4
"Y34P4",2007,-3.405,4
"Y34P4",2008,-2.2,4
"Y34P4",2009,-2.17,4
"Y34P4",2010,-2.47,4
"Y34P4",2011,-2.52,4
"Y34P4",2012,-2.185,7
"Y34P4",2013,-2.34,4
"Y34P4",2014,-1.955,4
"Y34P4",2015,-2.07,4
"Y34P4",2016,-2.13,5
"Y34P4",2017,-2.135,4
"Y34P4",2018,-2.145,4
"Y34P4",2019,-2.76,5
"Y34P4",2020,-2.18,3
"Y34P4",2021,-2.64,4
"Y34P7",2012,2.548,71
"Y34P7",2013,1.421,365
"Y34P7",2014,1.673,365
"Y34P7",2015,1.039,261
"Y34P7",2016,1.001,306
"Y34P7",2017,2.0975,292
"Y34P7",2018,1.4275,362
"Y34P7",2019,1.917,365
"Y34P7",2020,0.8015,302
"Y34P7",2021,-0.0180000000000001,86
"Y34P9",2013,-2.103,287
"Y34P9",2014,-2.376,365
"Y34P9",2015,-2.472,261
"Y34P9",2016,-2.757,364
"Y34P9",2017,-1.661,365
"Y34P9",2018,-2.0725,362
"Y34P9",2019,-1.973,365
"Y34P9",2020,-2.2585,366
"Y34P9",2021,-3.01,131
