"site","year","medianDepth","nobsv"
"353135080524201",2006,18.71,365
"353135080524201",2007,19.31,365
"353135080524201",2008,22.63,366
"353135080524201",2009,19.96,365
"353135080524201",2010,16.38,365
"353135080524201",2011,17.96,365
"353135080524201",2012,18.495,366
"353135080524201",2013,18.95,365
"353135080524201",2014,17.33,365
"353135080524201",2015,18.44,365
"353135080524201",2016,17.3,366
"353135080524201",2017,20.01,365
"353135080524201",2018,19.595,365
"353135080524201",2019,15.2,365
"353135080524201",2020,14.25,366
"353135080524201",2021,13.16,207
"353135080524202",2001,22.07,304
"353135080524202",2002,23.76,365
"353135080524202",2003,16.19,365
"353135080524202",2004,16.83,366
"353135080524202",2005,17.29,365
"353135080524202",2006,18.66,365
"353135080524202",2007,19.31,365
"353135080524202",2008,22.62,366
"353135080524202",2009,19.915,365
"353135080524202",2010,16.34,365
"353135080524202",2011,17.89,365
"353135080524202",2012,18.485,366
"353135080524202",2013,18.88,365
"353135080524202",2014,17.28,365
"353135080524202",2015,18.34,365
"353135080524202",2016,17.26,366
"353135080524202",2017,19.94,365
"353135080524202",2018,19.59,365
"353135080524202",2019,15.16,365
"353135080524202",2020,14.24,366
"353135080524202",2021,13.07,207
"353135080524203",2001,24.65,304
"353135080524203",2002,25.59,365
"353135080524203",2003,17.84,365
"353135080524203",2004,18.43,366
"353135080524203",2005,19.145,365
"353135080524203",2006,20.63,365
"353135080524203",2007,22.56,365
"353135080524203",2008,24.5,366
"353135080524203",2009,21.86,365
"353135080524203",2010,18.52,365
"353135080524203",2011,19.8,365
"353135080524203",2012,21.3,366
"353135080524203",2013,20.615,365
"353135080524203",2014,19.36,365
"353135080524203",2015,21.47,365
"353135080524203",2016,25.12,366
"353135080524203",2017,27.62,365
"353135080524203",2018,25.54,365
"353135080524203",2019,21.375,365
"353135080524203",2020,19.895,366
"353135080524203",2021,18.13,207
"353219077153801",1990,4.48,365
"353219077153801",1991,4.51,365
"353219077153801",1992,4.365,366
"353219077153801",1993,4.52,365
"353219077153801",1994,5.77,365
"353219077153801",1995,4.375,365
"353219077153801",1996,3.23,366
"353219077153801",1997,4.91,365
"353219077153801",1998,3.755,365
"353219077153801",1999,3.41,365
"353219077153801",2000,3.64,366
"353219077153801",2001,4.74,365
"353219077153801",2002,4.37,365
"353219077153801",2003,3.34,365
"353219077153801",2004,3.71,366
"353219077153801",2005,3.54,365
"353219077153801",2006,3.58,365
"353219077153801",2007,5.49,365
"353219077153801",2008,6.27,366
"353219077153801",2009,4.97,365
"353219077153801",2010,4.16,365
"353219077153801",2011,3.75,365
"353219077153801",2012,3.47,366
"353219077153801",2013,3.84,365
"353219077153801",2014,3.255,365
"353219077153801",2015,3.18,365
"353219077153801",2016,3.415,366
